time_msc;open;sma;current_delta;forecast_delta
2024-05-27 12:35:10;124870;124857,8571;1,428571429;1,785714286
2024-05-27 12:35:15;124870;124859,6429;1,785714286;1,428571429
2024-05-27 12:35:20;124870;124861,0714;1,428571429;0,714285714
2024-05-27 12:35:25;124860;124861,7857;0,714285714;1,071428571
2024-05-27 12:35:30;124860;124862,8571;1,071428571;1,785714286
2024-05-27 12:35:35;124865;124864,6429;1,785714286;0,714285714
2024-05-27 12:35:40;124860;124865,3571;0,714285714;-0,714285714
2024-05-27 12:35:45;124855;124864,6429;-0,714285714;-1,428571429
2024-05-27 12:35:50;124855;124863,2143;-1,428571429;-0,357142857
2024-05-27 12:35:55;124865;124862,8571;-0,357142857;-1,428571429
2024-05-27 12:36:00;124850;124861,4286;-1,428571429;-0,357142857
2024-05-27 12:36:05;124850;124861,0714;-0,357142857;0
2024-05-27 12:36:10;124860;124861,0714;0;-0,357142857
2024-05-27 12:36:15;124860;124860,7143;-0,357142857;-0,714285714
2024-05-27 12:36:20;124860;124860;-0,714285714;-0,714285714
2024-05-27 12:36:25;124860;124859,2857;-0,714285714;-0,357142857
2024-05-27 12:36:30;124865;124858,9286;-0,357142857;0
2024-05-27 12:36:35;124860;124858,9286;0;0,714285714
2024-05-27 12:36:40;124870;124859,6429;0,714285714;0,357142857
2024-05-27 12:36:45;124870;124860;0,357142857;0,357142857
2024-05-27 12:36:50;124865;124860,3571;0,357142857;0,714285714
2024-05-27 12:36:55;124865;124861,0714;0,714285714;1,071428571
2024-05-27 12:37:00;124870;124862,1429;1,071428571;0
2024-05-27 12:37:05;124865;124862,1429;0;1,785714286
2024-05-27 12:37:10;124875;124863,9286;1,785714286;2,5
2024-05-27 12:37:15;124885;124866,4286;2,5;1,785714286
2024-05-27 12:37:20;124885;124868,2143;1,785714286;1,071428571
2024-05-27 12:37:25;124875;124869,2857;1,071428571;1,071428571
2024-05-27 12:37:30;124875;124870,3571;1,071428571;0,714285714
2024-05-27 12:37:35;124870;124871,0714;0,714285714;0,357142857
2024-05-27 12:37:40;124870;124871,4286;0,357142857;0,357142857
2024-05-27 12:37:45;124865;124871,7857;0,357142857;-0,714285714
2024-05-27 12:37:50;124860;124871,0714;-0,714285714;-0,357142857
2024-05-27 12:37:55;124865;124870,7143;-0,357142857;0
2024-05-27 12:38:00;124865;124870,7143;0;-0,357142857
2024-05-27 12:38:05;124860;124870,3571;-0,357142857;-0,357142857
2024-05-27 12:38:10;124865;124870;-0,357142857;0
2024-05-27 12:38:15;124865;124870;0;-1,071428571
2024-05-27 12:38:20;124860;124868,9286;-1,071428571;-2,857142857
2024-05-27 12:38:25;124845;124866,0714;-2,857142857;-2,5
2024-05-27 12:38:30;124850;124863,5714;-2,5;-2,5
2024-05-27 12:38:35;124840;124861,0714;-2,5;-1,785714286
2024-05-27 12:38:40;124850;124859,2857;-1,785714286;-1,428571429
2024-05-27 12:38:45;124850;124857,8571;-1,428571429;-1,071428571
2024-05-27 12:38:50;124855;124856,7857;-1,071428571;-0,714285714
2024-05-27 12:38:55;124855;124856,0714;-0,714285714;-0,714285714
